village_name,school,hospital,park,retail
孝村村委会,22,8,5,29
高乐村委会,11,6,1,31
虹桥村委会,12,6,1,35
石门村委会,0,1,1,0
龙上村委会,0,2,1,2
里畈村委会,1,3,0,2
下埠村委会,18,7,2,25
自由村委会,76,29,7,99
杨洪村委会,3,4,0,4
海龙村委会,4,4,1,2
乐平村委会,3,4,0,7
后营村委会,17,6,2,30
白牛村委会,22,8,2,32
新都村委会,4,4,1,6
马啸村委会,2,2,0,2
玉屏村委会,6,3,1,5
周云村委会,7,4,1,12
对石村委会,20,9,2,26
桂芳桥村委会,6,4,1,9
武山村委会,165,55,24,107
新溪新村委会,4,6,0,12
兴龙村委会,6,6,0,17
吕匣村村委会,6,1,2,7
箕子山村村委会,7,1,0,5
王庄村委会,11,0,0,8
满沟屯社区村民委员会,350,46,7,219
道沟村委会,731,93,3,579
小山前村委会,104,19,0,160
古城社区村民委员会,414,51,2,386
郭家山村委会,35,3,2,48
云白常村委会,14,1,1,10
王庄村委会,12,1,0,11
东朱崔村委会,23,1,0,30
金柳村村委会,21,1,0,18
巾山村委会,5,2,0,4
西洋村委会,527,42,47,268
两水村委会,468,35,46,240
双桥村委会,182,46,13,237
贺家村委会,52,7,1,45
朝阳村委会,136,21,5,117
上沙村委会,15,5,1,8
大田刘村委会,114,22,5,102
绚珠村委会,100,15,4,70
西洋头村委会,44,7,0,40
屈家村委会,144,23,3,114
新前塘村委会,8,3,1,13
岩园村委会,144,23,3,108
横山前村委会,22,7,1,21
后泾村委会,37,13,1,33
红光村委会,71,26,4,74
西岑村委会,13,7,0,9
横路村委会,169,57,57,324
湖田村委会,19,5,2,17
上洋村委会,5,1,2,3
方田洋村委会,179,30,6,168
半洋村委会,320,55,16,254
松中村委会,193,40,6,187
汾西村委会,198,40,6,192
岸头村委会,138,37,4,178
洪家村委会,58,9,3,83
下八年村委会,189,35,7,188
富沈村委会,190,37,7,191
酒店村委会,148,41,5,203
西堑村委会,146,23,3,110
建立村委会,146,17,5,90
西尚村委会,27,6,0,28
东尚村委会,28,1,0,23
前常二庄村委会,9,3,0,21
许张寨村委会,77,15,0,97
冯杨村委会,16,2,0,17
李河村委会,99,17,2,132
代王村委会,47,6,1,38
童村村委会,156,20,4,88
北街村村民委员会,868,173,18,692
南街村村民委员会,868,173,18,671
四方桥村委会,16,2,0,39
黄墟村委会,26,9,1,40
横塘村委会,19,5,2,40
花园村委会,162,23,10,137
张埝村委会,24,7,0,54
大南庄村委会,23,10,1,59
界东社区居委会,44,11,1,119
界西社区居委会,77,16,2,146
金桥村委会,89,14,3,177
飞达村委会,67,9,2,133
新弄村委会,71,12,1,129
赤塘村委会,989,70,40,829
宗塘村委会,1028,70,40,861
山口村委会,870,64,30,727
徐村村委会,165,25,13,216
供店村委会,81,19,3,134
前流村委会,29,11,0,33
江南村委会,144,23,13,200
西赵村委会,163,25,14,230
毛店村委会,11,6,1,1
九联村委会,169,25,14,234
西陈村委会,192,20,15,169
孔村村委会,525,60,22,556
平畴村委会,513,49,15,920
下湾村委会,8,4,0,8
候儿村委会,473,50,14,817
新兴村委会,560,56,14,874
后湖村委会,760,66,28,983
下王村委会,691,73,50,413
尚仁村委会,793,68,30,848
大元村委会,12,7,0,10
西谷村委会,29,11,0,33
青岩傅村委会,396,40,18,403
大湖头村委会,637,60,22,391
船埠头村委会,29,10,4,37
石塔头村委会,50,13,3,107
青口村委会,808,68,29,863
东新屋村委会,601,68,17,887
龚大塘村委会,1091,88,44,1047
下傅村委会,938,83,41,891
杨村社区居民委员会,1040,96,42,973
诸宅村委会,627,68,29,674
龙回村委会,854,72,37,779
象山村委会,340,52,17,545
新村村委会,310,56,16,553
柯村村委会,83,26,2,170
江湾村委会,195,30,15,301
新屋村委会,601,68,26,651
下柳村委会,322,49,17,487
崇山村委会,135,27,11,219
后申塘村委会,683,67,29,717
杨梅院村委会,147,31,8,228
上崇山村委会,156,30,14,235
金村村村民委员会,1,2,0,0
季宅村委会,956,92,35,942
莲塘村委会,108,23,2,262
畈东村委会,839,60,33,768
青溪村委会,452,57,18,740
柳一村委会,479,51,19,620
柳二村委会,351,47,12,562
柳三村委会,66,18,3,145
新后傅村委会,445,58,18,739
下畈村委会,94,32,4,228
全备村委会,29,16,3,83
后余村委会,26,10,5,34
上周村委会,151,52,5,475
大傅宅村委会,92,29,4,243
上金村委会,162,29,13,258
鹤田村委会,13,17,1,57
前傅村委会,43,19,3,110
俊塘村委会,54,19,2,122
广口村委会,43,20,2,78
湖门村委会,219,22,20,161
新华村委会,17,18,1,65
前毛店村委会,159,43,6,447
后毛店村委会,114,41,5,338
西关田村委会,35,21,2,99
下余山村委会,40,20,2,76
七一村委会,152,35,3,358
枫溪村委会,77,18,4,219
五星村委会,13,6,2,8
西俞村委会,264,28,9,403
殿口村委会,317,51,11,548
益公山村委会,162,46,4,373
夏迹塘村委会,98,15,4,208
塘下郑村委会,348,50,11,618
夏演村委会,104,36,4,218
流下村委会,95,31,2,182
溪干村委会,84,25,1,185
桥头村委会,92,28,3,185
上杨村委会,19,6,1,28
流大塘村委会,116,38,2,291
何泮山村委会,293,51,11,543
龙山村村民委员会,24,7,2,33
深塘村委会,43,23,2,90
埠头村委会,136,21,2,387
何宅村委会,519,62,21,708
后义村委会,253,28,9,715
王店村委会,170,39,4,239
葛塘村委会,126,19,4,281
张思村委会,29,11,0,34
陈陀村委会,165,28,8,407
派塘村委会,3,1,0,0
华溪村委会,2,3,0,2
西京村委会,109,15,2,284
李塘村委会,50,12,4,174
泉塘村委会,87,15,3,183
大岭村委会,1,0,0,0
下朱宅村委会,251,29,8,691
石柱下村委会,96,11,3,72
祖科塘村委会,158,53,5,492
尚经村委会,184,35,7,429
全宅村委会,30,11,0,33
清塘村委会,3,3,1,4
九如堂村委会,425,47,16,751
下娄店村委会,193,25,8,468
东岗山村委会,318,46,13,574
楼西塘村委会,565,52,21,850
前店村委会,52,21,4,116
荷叶塘村委会,140,46,3,421
下西陶村委会,108,36,3,363
大田村委会,3,2,2,2
起鸣村委会,66,19,1,106
东山村委会,30,11,0,33
毛陈村委会,30,11,0,33
王新村委会,30,11,0,33
鲍宅村委会,81,22,5,128
后张村委会,82,17,4,167
西后畈村委会,114,34,4,217
西田村委会,166,30,9,430
前屋村委会,63,18,4,163
石塔一村委会,98,32,6,214
王莲塘村委会,95,17,6,179
王阡村村民委员会,95,18,5,163
上潘社区居民委员会,98,30,3,172
塘西社区居民委员会,28,5,5,32
红桥头村委会,89,28,3,183
富塘下村委会,43,23,2,89
荷市村委会,116,26,4,175
新院村委会,86,22,4,211
蒋宅村委会,61,22,1,117
马丁村委会,99,26,5,287
新中村委会,96,26,3,254
徐丰村委会,30,11,0,33
邢宅村委会,76,21,4,159
新乐村委会,200,37,14,327
王界村委会,197,37,14,333
长府村委会,111,32,6,338
上楼村委会,128,32,5,227
油碑塘村委会,92,24,4,243
齐山楼村委会,87,22,4,216
徐樟塘村委会,112,37,2,356
塘里蒋村委会,80,17,5,162
里外甘村委会,124,38,2,353
里宅村委会,14,6,5,10
高岭村委会,118,32,2,331
木城村委会,29,16,3,79
下陈村委会,259,20,4,161
张浒村委会,104,29,6,300
上西陶村委会,96,33,2,334
后山坞村委会,123,37,2,350
楼下张村委会,87,21,4,238
西山下村委会,106,26,2,296
东陶村委会,80,29,2,305
六都村村民委员会,93,24,4,239
团结村委会,38,16,3,101
红旗村委会,40,18,3,103
湖山村委会,136,38,4,151
大陈一村委会,31,17,3,95
春林村委会,37,16,3,103
楂林一村委会,34,16,3,96
李孟宅村委会,37,16,3,104
八里桥头村委会,43,18,7,113
土墩塘村委会,73,20,11,81
新塘村委会,163,36,14,112
牛鼻洞村委会,144,34,14,111
潘家垟村委会,416,46,24,232
湖上岙村委会,402,46,24,233
南岸社区,422,51,24,276
凤凰村委会,99,29,8,205
巨星村委会,127,42,18,132
潭头卢村委会,50,13,2,91
前垟村委会,77,25,3,68
前横村委会,493,85,53,441
东垟村委会,193,53,20,162
三村村委会,8,1,1,3
埭下村委会,23,6,1,20
东风社区,102,46,8,82
长虹社区,910,80,33,562
象阳居委会,418,90,33,456
后街社区,305,49,32,585
方斗岩村委会,382,74,29,511
后西垟村委会,427,82,33,545
前西垟村委会,459,89,32,578
吕庄村委会,448,83,29,556
翔金垟村委会,468,86,34,573
上峰村委会,437,82,31,532
长丰村委会,433,86,36,507
象山村委会,467,86,33,528
上池村委会,470,87,34,533
浃西村委会,464,86,34,497
浃东村委会,140,55,8,119
长春村委会,108,35,9,80
社头村委会,414,87,35,459
西凰屿村委会,452,89,36,471
东凰屿村委会,432,88,36,459
东仁宕村委会,461,91,32,486
西西村委会,10,2,1,3
新光村委会,162,50,16,139
刘宅村委会,97,19,2,172
张瞿村委会,205,42,18,313
上游村委会,307,68,28,456
苏岙村委会,337,80,28,485
苏吕村委会,48,7,2,23
南吕岙村委会,393,84,30,523
黄七甲村委会,474,84,31,565
上来桥村委会,474,88,32,548
三里村委会,6,3,0,3
马仁桥村委会,471,89,35,551
新民村委会,55,12,1,30
东村委会,15,5,0,5
西仁宕村委会,445,87,28,465
薛宅村委会,412,87,25,409
捕捞新村委会,419,81,25,400
尚宅村委会,9,1,1,8
长道坦村委会,361,76,23,346
前垟洞村委会,358,76,22,318
店后村委会,100,35,17,121
沙东村委会,111,33,13,265
前窑村委会,124,34,15,292
前州村委会,158,39,18,344
荷岙村委会,126,47,17,227
上五宅村委会,408,72,29,546
西宋村委会,46,7,2,23
湖东村委会,51,17,6,44
湖西村委会,409,69,27,506
智广村委会,450,81,29,572
杨宅村委会,65,11,9,59
蟾西村委会,383,61,36,290
蟾东村委会,66,12,6,54
仙垟村委会,52,11,6,21
柳南村委会,400,90,33,451
深河村委会,392,84,31,460
汤岙余村委会,385,86,28,497
汤西村委会,363,84,25,450
七西村委会,284,36,30,376
排岩头村委会,292,64,23,269
楼下村委会,8,5,0,3
上屋村委会,97,34,12,121
马道头村委会,97,34,12,117
曹田前村委会,104,33,14,116
曹田后村委会,114,37,16,151
黄华关村委会,79,32,11,95
黄华堡村委会,89,32,11,99
黄华村委会,93,30,12,101
朝阳东村委会,25,8,6,38
上岩村委会,95,34,13,110
七里村委会,118,34,14,148
白塔王社区,447,89,27,528
白鹭屿村委会,183,46,14,244
沈岙村委会,211,53,17,280
三房村委会,456,85,28,504
万茗村委会,369,66,20,433
车岙村委会,314,58,18,367
水塔头村委会,357,64,19,437
前岸村委会,35,8,2,47
前程村委会,445,84,25,496
大港村委会,456,89,26,518
中西漳村委会,434,83,27,516
后西漳村委会,430,82,24,515
塘下村委会,494,89,52,446
马路角村委会,433,79,23,527
南才头村委会,439,85,28,536
三重炉村委会,435,84,28,484
水潭村委会,451,83,29,484
王家店村委会,455,84,26,511
金炉村委会,444,81,28,549
南塘村委会,34,10,8,28
寺前村委会,356,87,26,378
宝洪村村民委员会,33,4,1,46
海龙村村民委员会,66,13,2,96
樱桃沟社区居民管理委员会,51,13,1,47
黄龙岗社区居民管理委员会,59,15,0,48
东溪村委会,289,29,5,152
楂林村委会,150,20,7,113
河上村委会,74,19,0,87
巧云村委会,77,19,0,81
七一村村委会,5,1,0,10
河南村村民委员会,11,0,2,13
东南村委会,14,4,0,17
岩滩村委会,15,4,0,4
椿树村委会,6,1,2,4
上坪村委会,15,6,0,4
新明村委会,175,15,6,130
大夫田村委会,114,12,1,126
新开村委会,132,15,13,545
飞鹅村委会,35,1,6,70
胪厦村委会,382,54,18,499
江边村委会,830,62,41,576
叶厦村委会,843,62,41,573
北园村委会,853,62,41,589
浦口村委会,547,55,32,450
高湖村委会,905,108,53,739
大路村委会,68,13,1,34
坎头村委会,51,5,1,37
黄梁陈村委会,61,8,2,63
西垟村委会,36,7,2,42
湖其园村委会,34,6,2,51
下张村委会,141,23,3,115
杏村委会,30,6,1,22
杨砩头村委会,32,6,1,24
麟山村委会,94,16,0,101
辉煌村委会,89,10,2,120
和平村委会,147,19,5,277
斗北村委会,85,10,2,117
海安村委会,90,9,2,121
坝下社区居委会,95,16,0,100
紫泽社区居委会,89,16,0,100
泉山社区居委会,134,16,5,114
龙腾社区居委会,93,15,0,95
紫洋社区居委会,98,17,0,106
溪尾社区居委会,66,6,4,42
南溪村委会,8,1,1,2
后堡村委会,79,14,0,80
仙水村委会,78,14,0,81
洋坂村委会,17,1,0,9
霞溪村委会,23,0,0,18
霞苑村委会,329,52,12,381
昌山村委会,56,6,5,37
垅溪村委会,59,3,2,93
山岑村委会,28,0,2,50
蒲山村委会,17,1,0,9
乌石村委会,22,0,0,18
钟峰村委会,22,0,0,20
红旗村委会,24,2,2,20
林内村委会,17,1,0,8
金建村委会,11,1,2,9
金沙村委会,104,14,4,193
古井街道居委会,17,4,6,23
古井村委会,13,6,0,17
金元村村委会,22,4,0,41
袁庄村委会,8,2,0,14
胡家村村委会,36,11,0,47
寇村村委会,282,41,11,241
北张村村委会,9,1,0,0
蔡村大街村委会,60,14,4,68
田口村委会,24,5,0,30
南芦张村委会,28,4,0,24
北马庄村委会,12,1,0,13
西于村村委会,10,1,0,23
西八方村委会,24,5,0,30
穆家口村委会,34,3,0,29
边家庄村委会,18,1,0,10
东黄庄村委会,32,3,0,26
南张村村委会,42,3,0,14
郑家庄村委会,22,1,1,20
王村村委会,13,0,0,9
环水村村委会,28,1,0,19
马家庄村委会,7,0,0,0
东甄庄村委会,19,1,0,14
西甄庄村委会,3,0,0,1
烟涧村村民委员会,22,4,1,26
黄箭山村委会,139,22,1,147
姜家渡村委会,210,33,7,194
竹山村委会,396,50,27,233
明伟村委会,321,45,17,239
苏家园村委会,73,16,4,120
五星村委会,11,7,0,4
永丰村委会,172,29,8,175
谭家岭村村委会,433,54,23,286
丰杨河村委会,347,44,25,211
康山村委会,311,48,25,275
丰南村委会,468,57,28,252
北郊村委会,385,52,32,266
方桥村委会,14,7,7,20
历山村委会,257,52,21,243
黄湖村委会,279,55,23,191
芦城村委会,172,44,11,229
低塘村委会,146,41,11,209
汤家闸村委会,95,27,7,124
镆剑山村委会,51,19,3,70
郑巷村委会,55,19,3,69
西郑巷村委会,55,22,4,89
新南王村委会,62,23,5,70
赵家村委会,136,23,31,173
新新村委会,10,2,0,13
干家路村委会,67,28,2,130
西墟村委会,65,21,4,70
湖堤村委会,102,26,6,119
朗海村委会,22,14,3,53
小路下村委会,42,19,3,81
谢家路村委会,49,17,4,79
夹塘村委会,52,22,4,90
万圣村委会,9,5,0,2
镇南村委会,9,5,0,2
斗门村委会,135,24,8,123
长泠江村委会,38,18,0,66
魏家村委会,33,15,5,45
新东吴村委会,34,16,4,48
渔溪村委会,44,17,1,63
寺前王村委会,33,14,0,63
罗江村委会,17,10,0,29
五马村委会,69,25,5,83
江南村委会,54,21,17,53
方桥村委会,263,31,23,412
永西村委会,291,36,16,421
三角村委会,153,30,8,124
永和村委会,210,28,13,432
朝阳村委会,368,55,22,520
五星村委会,566,39,16,302
和睦桥村委会,317,33,25,433
良熟村委会,337,33,27,321
葛家车村委会,295,39,18,480
费庄村委会,72,33,6,149
戚家桥村委会,74,33,6,141
螺蛳桥村委会,45,27,6,105
兴旺村委会,47,28,6,106
博陆村委会,36,24,7,62
东新村委会,38,24,7,64
向阳村委会,40,24,7,64
大安村委会,39,24,7,60
鸭兰村委会,37,24,7,64
北庄村委会,37,24,7,59
陆家桥村委会,37,24,7,62
三家村委会,40,24,7,63
沿山村委会,39,24,7,68
四维村委会,38,24,7,63
龙旋村委会,37,24,7,66
九龙村委会,40,24,7,66
栅庄桥村委会,38,24,7,62
云会村委会,38,24,7,63
双陈村委会,40,24,7,69
良渚村委会,37,24,7,65
荀山村委会,37,24,7,65
石桥村委会,38,24,7,64
七贤桥村委会,41,24,7,62
安溪村委会,40,24,7,62
运河村委会,38,24,7,65
小洋坝村委会,38,24,7,67
行宫塘村委会,38,24,7,64
勾庄村委会,38,24,7,64
西塘河村委会,38,24,7,63
南庄兜村委会,39,24,7,62
大陆村委会,37,24,7,63
港南村委会,38,24,7,67
万景村委会,37,24,7,65
高桥村委会,228,18,3,138
高桥村委会,222,18,3,138
连具塘村委会,38,12,2,35
吴山前村委会,42,13,0,40
永乐村委会,22,20,4,39
义桥村委会,68,14,4,59
仙宅村委会,68,14,4,58
金星村委会,68,14,4,59
南湖村委会,67,14,4,59
紫荆村委会,19,6,2,14
新泰村委会,57,14,2,72
朱家角社区,58,14,2,74
莫家桥村委会,8,7,0,2
李家桥村委会,8,7,0,2
柴家坞村委会,52,13,2,47
超山村委会,91,22,7,83
泰山村委会,52,17,6,143
超丁村委会,85,19,6,107
三星村委会,88,19,6,112
长乐村委会,44,16,8,121
长命村委会,72,21,5,91
凤都村委会,10,4,1,9
彭公村委会,10,4,1,9
花园村委会,133,24,69,134
良塘村委会,141,23,74,133
马屯村村民委员会,150,23,74,135
东正村委会,7,0,2,7
花园村委会,7,0,2,7
八里屯村委会,0,1,0,0
庙上村委会,20,3,0,14
城后村委会,8,5,0,55
马埠岭村委会,116,18,1,222
前洞门村委会,401,54,9,215
后洞门河东村委会,510,71,3,557
响河屯村委会,502,71,3,557
南沙埠庄村委会,503,71,3,556
颜家红埠寺村委会,169,24,1,269
福源社区村民委员会,495,70,4,567
白沙埠社区村民委员会,804,112,4,796
大姜庄村委会,29,5,1,48
花园社区村民委员会,116,16,3,83
堰东村委会,19,4,2,10
南孙庄村委会,25,9,2,25
刘埠口村委会,24,9,2,24
孙营西村委会,25,9,2,24
大力集村委会,14,4,0,16
杨桥村委会,3,0,0,1
黎村村委会,3,0,0,1
戴家村委会,57,14,3,73
中迎村委会,57,14,3,71
南朱村委会,56,14,3,72
东陈村委会,55,18,3,70
双沐村委会,67,12,2,103
史堡村委会,52,9,0,75
雁伦村委会,56,14,3,72
北姜村委会,58,9,2,73
陈祁村委会,76,13,3,104
顾庄村委会,31,7,1,38
帅垛村委会,57,10,0,83
张万村委会,63,11,0,100
赵家村委会,29,22,0,54
董北村委会,70,12,2,99
蒋庄村委会,12,8,0,26
欧家村委会,15,3,2,26
刘纪村委会,8,6,0,28
五星村委会,16,8,0,41
唐刘村委会,7,1,0,9
姚富村委会,334,58,17,192
钓鱼台村民委员会,214,32,9,155
西关村民委员会,195,36,3,246
杨孔五村委会,135,34,6,127
殷庄村委会,59,8,0,28
西沙村村委会,52,15,2,58
岳良村村委会,135,34,10,128
前店杨村村委会,143,34,11,141
块村营村委会,19,6,12,63
曼贺村民委员会,19,6,12,60
曼尾村民委员会,73,16,5,151
算山村委会,78,16,5,151
红联村委会,250,69,25,197
湖塘村委会,135,32,9,164
山前村委会,332,42,22,199
新城村委会,36,0,2,18
南仓村委会,34,0,2,17
柴楼村委会,35,0,2,18
岔房子村委会,36,0,2,18
韩家墅村委会,30,11,4,86
刘安庄村委会,176,45,12,202
东关社区居民委员会,173,45,12,200
单六社区居民委员会,170,45,12,207
四里埠社区居民委员会,172,45,12,200
北关村民委员会,173,45,12,203
刘海社区居民委员会,142,44,5,168
郭黄庄村民委员会,243,43,8,132
权楼村民委员会,6,5,0,7
西郊村民委员会,329,79,15,302
张知楼社区居民委员会,299,72,15,245
单庄村民委员会,341,86,16,294
南王庄村民委员会,178,58,14,200
五里井村民委员会,158,40,12,124
孙溜社区居民委会,341,84,17,314
段楼村民委员会,26,6,0,25
单集村民委员会,342,86,16,301
代庙村民委员会,34,18,1,32
贺庄村民委员会,71,10,0,97
三街村民委员会,355,63,3,227
大赵庄村民委员会,17,6,0,14
前花园村民委员会,8,1,0,5
董庄村民委员会,302,80,12,298
高韦庄村民委员会,18,8,0,11
徐寨村民委员会,7,5,0,13
坝头寺村民委员会,8,5,0,6
孟店村民委员会,30,7,0,41
孟楼村民委员会,16,6,0,28
李楼村民委员会,170,44,1,131
三里庄村民委员会,22,6,0,24
田庙村民委员会,10,4,0,4
南王楼村民委员会,16,5,0,31
北关村委会,147,36,9,86
田庄村委会,32,1,0,14
东贾郭村委会,68,6,1,48
骆坪村委会,6,0,0,6
秋水园村委会,96,19,6,86
脊江村委会,6,0,0,6
镇山村委会,79,24,1,134
莲塘村委会,343,41,15,421
露江村委会,224,46,20,185
梅亭社区居委会,267,55,23,261
松岭村委会,181,36,14,355
玉叶村委会,104,25,15,142
省身村委会,33,5,1,49
新厅村委会,52,19,1,58
南金村委会,31,3,1,36
园内村委会,50,6,2,72
檀林村委会,655,105,31,836
仑苍村委会,72,16,0,115
园美村委会,70,16,1,117
霞溪村委会,46,6,0,62
新峰村委会,468,71,21,543
炉山村委会,52,13,6,71
炉中村委会,18,4,1,9
罗溪村委会,25,8,1,16
霞山村委会,39,7,1,41
鼎诚村委会,118,17,2,105
丰溪村委会,85,13,2,88
竞丰村委会,87,13,2,91
西林村委会,85,16,2,88
谯琉村委会,93,20,1,77
扬美村委会,213,53,23,240
厝斗村委会,99,18,3,89
福林村委会,114,39,21,209
都心村委会,52,13,6,75
跃进村委会,303,76,23,527
康美村委会,223,53,23,243
青山村委会,43,6,1,54
梅元村委会,148,18,13,150
福铁村委会,78,34,7,175
园内村委会,49,6,2,75
赤岭村委会,50,20,1,50
兰田村委会,18,1,4,8
丰州村委会,231,47,19,346
桃源村委会,166,35,13,279
后田村委会,79,13,2,84
素雅村委会,40,8,1,50
溪丰村委会,86,13,2,92
玉湖村委会,57,2,0,51
霞美村委会,75,11,1,58
温山村委会,18,6,2,9
四黄村委会,190,46,7,342
邱钟村委会,181,36,14,367
埔当村委会,67,15,5,61
长福村委会,177,38,6,242
杏埔村委会,109,36,9,149
仙河村委会,81,15,2,96
下房村委会,135,22,2,227
菊江村委会,35,6,3,43
垂杨村委会,16,0,0,1
宋都水村委会,34,3,0,18
田家集村委会,33,2,0,11
郝尚营村委会,32,2,0,11
赵家营村委会,30,2,0,12
路家庄村委会,2,0,0,2
后索泸村委会,19,1,0,2
前索泸村委会,20,1,0,2
南慈达村委会,37,2,0,13
南王庄村委会,17,12,0,15
巩家洼村委会,25,1,0,14
崔村村委会,19,2,0,10
营里村委会,24,2,0,20
范家寨村委会,33,2,0,14
尧村村委会,16,0,0,3
段一村委会,31,2,0,8
段二村委会,30,2,0,8
段三村委会,24,2,0,21
段四村委会,31,2,0,9
西康庄村委会,246,58,6,135
鲁义寨村委会,33,2,0,10
南张庄村委会,23,1,0,1
王家庄村委会,15,1,0,8
和生店村委会,34,2,0,9
后和生村委会,34,2,0,8
李和生村委会,30,2,0,9
徐马寨村委会,21,0,0,4
青杨寨村委会,37,2,0,8
马河涯村委会,13,0,0,4
陶家屯村委会,23,0,0,8
董家庙村委会,15,1,0,3
西王排村委会,19,3,3,17
万户庄村委会,29,5,3,26
董家村村委会,35,5,0,32
东紫冢村委会,24,2,0,10
后高庄村委会,27,2,0,11
北七里口村委会,24,2,0,22
南六方村委会,24,2,0,22
王义寨村委会,12,0,0,7
西底阁村委会,24,2,0,8
贾家屯村委会,27,2,0,8
南七里口村委会,26,2,0,11
赵都水村村委会,26,2,0,11
