,checkname,school,hospital,park,retail
4028,水沥村委会,91,4,5,183
4037,大岭村委会,91,10,85,151
1839,茶园村民委员会,92,6,5,203
3972,汉塘村委会,92,6,8,295
2042,塔西村委会,92,9,2,46
2793,松山村委会,92,13,1,48
2041,松山村委会,92,13,1,49
2794,塔西村委会,93,9,2,47
2329,田丰村委会,94,3,2,46
3081,田丰村委会,94,3,2,49
3534,简朴村委会,94,6,3,82
3723,下岱美村委会,94,6,5,49
3563,新中村委会,94,6,6,61
1015,鸾岗村民委员会,95,2,5,219
1838,岭湖村民委员会,95,6,4,225
3669,深洋村委会,95,7,2,177
4033,南岗村委会,95,17,20,574
3916,诜村村民委员会,96,6,10,186
3989,白山村委会,96,10,3,323
4021,安平村委会,97,6,8,245
2024,硕和村委会,97,8,6,83
117,新茂村民委员会,97,10,3,639
3571,横溪村委会,98,2,1,92
2330,远光村委会,98,3,2,54
3082,远光村委会,98,3,2,56
1770,小铁村民委员会,98,5,4,235
2589,白石村民委员会,98,6,4,226
3994,头陂村委会,98,6,4,376
3708,程洋岗村委会,99,6,5,78
3724,河美村委会,99,6,6,56
3993,石湖村委会,99,8,4,351
2326,泗坑村委会,99,9,5,102
3078,泗坑村委会,99,9,5,102
2521,联和村民委员会,100,5,4,242
3722,上岱美村委会,100,8,12,85
5101,沙浦村委会,100,14,16,100
1700,红花村委会,101,8,1,192
2776,硕和村委会,101,8,6,85
3924,大山村民委员会,101,8,13,290
5139,钱塘村委会,101,10,8,209
3980,岗尾村委会,102,4,7,371
3670,官田村委会,102,8,2,181
1699,永乐村委会,102,8,2,186
2450,黎村村委会,102,8,2,189
3721,埭头村委会,102,8,13,81
935,西联社区居委会,102,9,13,259
110,永二村民委员会,102,17,8,300
4008,龙岗村委会,103,5,8,212
2451,永乐村委会,103,8,1,192
121,罗松村民委员会,103,17,9,206
3725,东和村委会,104,7,11,60
934,东联社区居委会,104,10,14,269
943,沙水村委会,104,10,22,408
957,鹤峰村委会,104,15,28,291
5398,西太隆村村民委员会,104,21,10,609
1698,黎村村委会,105,8,1,188
2777,硕榕村委会,105,8,6,88
5365,五联村村民委员会,105,20,10,284
5260,粟边村村民委员会,105,25,20,642
3999,草庄村委会,106,7,6,519
3727,塘西村委会,106,7,11,59
3554,禾皋村委会,106,8,6,100
5075,水藤村委会,106,15,32,344
3570,福庆村委会,107,3,5,122
1701,新风村委会,107,7,0,197
924,北村社区居委会,107,15,25,307
3661,庄陇村委会,108,6,1,89
2452,红花村委会,108,7,0,193
3720,盛洲村委会,108,8,14,80
940,新境村委会,108,10,18,257
937,华涌社区居委会,108,11,8,143
5270,东平村村民委员会,108,19,11,580
3977,西成村委会,109,5,7,379
3985,秀水村委会,109,6,7,468
3726,观一村委会,109,7,11,59
3955,前锋村民委员会,109,8,3,141
3973,新兴村委会,109,9,86,145
4031,小塘村委会,109,10,21,332
5091,桑麻村委会,109,16,15,146
5378,大岭村村民委员会,109,17,38,404
3981,方石村委会,110,5,6,367
2588,新塘村民委员会,110,6,2,305
2323,富美村委会,110,6,8,85
3975,高增村委会,110,6,9,380
3998,营溪村委会,110,7,6,526
2025,硕榕村委会,110,8,6,87
5090,东头村委会,110,14,23,171
1837,白石村民委员会,111,6,2,301
3984,鸦湖村委会,111,7,8,427
4561,龙榜村委会,111,13,8,210
931,百东村委会,111,14,8,175
5392,民田村村民委员会,111,21,10,645
3075,富美村委会,112,6,8,84
3729,南畔洲村委会,112,8,13,63
1126,翟洞村委会,112,12,3,220
90,白鲤村民委员会,112,14,4,500
2292,高明村委会,113,4,3,85
3044,高明村委会,113,4,3,86
3974,明星村委会,113,6,8,358
3950,眉山村民委员会,113,10,4,129
123,牛角村民委员会,113,19,8,248
1124,长岗村委会,114,5,5,324
5097,光华村委会,114,8,14,141
5096,麦村村委会,114,9,12,151
519,大夫田村委会,114,12,1,126
1775,九龙村民委员会,115,6,1,318
3541,塭美村委会,115,9,11,89
2526,金鸡村民委员会,116,6,1,318
3673,东星村委会,116,8,2,180
4555,周郡村委会,116,14,27,234
3983,太成村委会,117,5,6,410
3680,新乡村委会,117,8,2,144
3728,月窟村委会,117,8,12,62
4227,紫南村民委员会,117,13,14,207
926,镇南村委会,117,14,10,200
944,石泉村委会,117,15,26,390
5414,寮厦村村民委员会,117,18,11,258
3976,人和村委会,118,5,7,391
3718,上巷村委会,118,6,11,107
3520,东溪村委会,118,7,5,172
3707,槐南村委会,118,8,3,118
3050,乌石村委会,118,9,7,142
3594,阁一村委会,119,5,3,77
3593,下阁村委会,119,5,3,90
3942,官堂村民委员会,119,6,9,473
4032,何布村委会,119,7,26,310
4351,西头村委会,119,21,12,622
3714,永新村委会,120,8,9,130
2790,林厝村委会,120,9,7,110
0,南岸村民委员会,120,10,10,138
5262,石排村村民委员会,120,23,16,252
3595,阁二村委会,121,6,1,111
2038,林厝村委会,121,9,7,107
2298,乌石村委会,121,9,7,141
5386,新联社区居民委员会,121,18,16,800
3663,仙洲村委会,122,7,2,109
3672,东明村委会,122,8,1,193
3584,盛户村委会,123,3,2,104
5269,旧围村村民委员会,123,15,10,486
5373,连平村村民委员会,123,18,40,390
5405,大罗沙村村民委员会,123,31,18,366
3978,矮岗村委会,124,5,9,443
3592,市头村委会,124,6,3,91
3560,泗黄村委会,124,6,3,117
3970,犀牛角社区居委会,124,7,7,393
5138,三富村委会,124,12,8,227
4360,旗新村委会,124,14,6,613
956,北沙村委会,124,17,29,402
3587,潘刘村委会,125,6,0,114
3671,横山村委会,125,8,1,194
127,白石村民委员会,125,10,10,287
5271,下截村村民委员会,125,15,12,525
953,麻奢村委会,125,17,37,360
5106,下埭仔村委会,126,7,13,79
4352,义山村委会,126,19,12,459
3596,塘东村委会,127,5,2,103
4335,平西村委会,127,11,15,238
5261,超朗村村民委员会,127,27,30,688
1773,柏岗村民委员会,128,5,1,389
3597,东升村委会,128,7,2,114
5103,霞东村委会,128,7,11,70
111,新前进村民委员会,128,14,4,312
5084,东海村委会,128,17,22,179
3556,西新村委会,129,9,5,151
3067,新寮村委会,129,12,3,139
5273,铁炉坑村村民委员会,129,16,13,487
5413,洲湾村村民委员会,129,21,11,247
5288,山和村村民委员会,129,26,7,465
118,裕祥村民委员会,130,11,2,644
3677,山前村委会,131,3,8,133
1006,深沥村民委员会,131,8,3,301
87,胜龙村民委员会,131,12,8,375
115,贴边村民委员会,131,14,1,746
5272,东山村村民委员会,131,17,10,563
4035,江村村委会,131,17,28,505
2524,青塘村民委员会,132,5,1,388
5104,霞西村委会,132,6,10,76
2315,新寮村委会,132,12,3,138
520,新开村委会,132,15,13,545
79,大岑村民委员会,132,15,32,350
5353,三中村村民委员会,132,18,35,666
5070,劳村村委会,132,20,30,316
80,鳌山村民委员会,134,17,18,265
3585,徐陇村委会,135,11,12,201
4559,六坊村委会,135,16,25,375
3982,大巷村委会,136,8,9,463
3681,新厝村委会,136,9,14,87
5264,庙边王村村民委员会,136,27,30,771
3598,银湖村委会,137,7,4,133
3717,兰苑村委会,137,8,5,151
942,龙头村委会,137,15,19,437
4557,霞村村委会,137,15,24,431
5410,新基村村民委员会,137,21,24,227
1849,皇后村民委员会,138,1,4,452
2600,南坑村民委员会,138,1,4,476
2016,锡西村委会,138,13,6,99
2768,锡西村委会,138,13,6,100
4228,紫洞村民委员会,138,18,17,273
5263,下沙村村民委员会,138,22,16,743
5276,霞朗村村民委员会,138,23,15,695
3678,西美村委会,139,6,6,134
3676,坑仔村委会,139,14,4,196
2796,湖西村委会,140,6,5,107
2044,湖西村委会,140,6,5,108
3996,大沥村委会,140,13,10,575
4558,三丫村委会,141,13,26,387
4002,北村村委会,141,15,13,547
4233,罗格村民委员会,141,18,23,274
1127,简村村委会,142,9,12,241
3674,大坑村委会,143,4,7,158
4000,田心村委会,143,13,11,628
5419,中堂村村民委员会,143,16,5,372
5346,松岗村村民委员会,143,17,15,456
5403,南丫村村民委员会,143,29,22,550
2043,围头村委会,144,6,5,118
2022,锡东村委会,144,12,5,129
3586,洪巷村委会,144,13,3,178
5078,杨滘村委会,144,20,26,364
4354,前进村委会,144,21,9,800
2795,围头村委会,145,6,5,115
2774,锡东村委会,145,12,5,131
5074,大闸村委会,145,15,27,323
5265,水贝村村民委员会,145,22,23,678
2309,月屿村委会,146,9,5,160
1014,中岗村民委员会,146,9,11,390
3995,沙亭村委会,146,10,8,589
1009,刘屋村民委员会,146,12,6,437
5355,林村社区居民委员会,146,14,5,429
1774,金鸡村民委员会,147,7,1,329
2287,华市村委会,147,13,5,169
2019,石洋村委会,148,9,7,114
2771,石洋村委会,148,9,7,118
3048,果陇村委会,148,11,8,183
2296,果陇村委会,148,11,8,185
3965,小龙村民委员会,148,20,33,389
1008,上南村民委员会,149,12,3,421
3639,礼阳郑村委会,149,14,2,176
81,同安村民委员会,149,18,19,433
5371,鸡翅岭村村民委员会,149,21,24,420
4034,珠江村委会,149,22,29,611
3555,高美村委会,150,10,7,173
5342,新马莲村村民委员会,150,20,30,563
4355,振兴村委会,150,21,10,843
4353,军田村委会,150,24,12,803
5108,李厝村委会,151,7,14,92
2314,占陈村委会,151,13,5,168
4226,罗南村民委员会,151,22,18,283
3715,涂城村委会,152,8,1,180
3061,月屿村委会,152,9,5,161
3557,东北村委会,152,10,7,180
5253,上元村村民委员会,152,21,14,446
3685,河陇村委会,153,5,8,189
3686,草尾村委会,153,5,8,189
3052,新村村委会,153,6,8,113
2300,新村村委会,153,6,8,114
2030,白石村委会,153,15,6,134
5347,上元村村民委员会,153,21,14,458
3614,上西林村委会,154,6,4,151
3610,上官路村委会,154,7,14,99
3716,竹林村委会,154,8,2,177
3039,华市村委会,154,13,5,167
3066,占陈村委会,154,13,5,169
2525,柏岗村民委员会,155,7,1,334
1007,阵村村民委员会,155,10,4,357
5109,沈厝村委会,156,7,12,97
1135,上邵村委会,156,9,16,283
4556,篁湾村委会,156,13,25,432
89,坦背村民委员会,156,15,7,391
5304,卢屋村村民委员会,156,18,14,587
5085,官田村委会,156,20,32,287
2057,东岸村委会,157,8,11,291
2809,东岸村委会,157,8,11,293
3613,塔下村委会,157,9,4,149
2782,白石村委会,157,15,6,133
5289,石水口村村民委员会,157,28,10,600
2311,华林村委会,158,14,8,152
4359,新扬村委会,158,19,9,743
5284,水边村村民委员会,158,34,27,800
5266,埔心村村民委员会,158,34,32,883
3986,鹤亭村委会,159,11,16,421
4001,柏塘村委会,159,13,12,592
1010,高头村民委员会,159,14,5,394
3583,淇园村委会,160,11,12,241
5280,横沥村村民委员会,160,22,13,270
3063,华林村委会,162,14,8,152
5415,杜屋村村民委员会,162,22,13,265
5285,山厦村村民委员会,162,35,32,789
3601,湖美村委会,163,10,2,155
3611,赖厝村委会,164,13,5,217
5092,高赞村委会,164,15,19,157
4004,南村村委会,164,15,32,838
5303,桥沥村村民委员会,164,19,14,687
5412,聚龙江村村民委员会,164,26,14,336
3590,西郊村委会,165,13,5,216
2021,锡中村委会,165,16,9,178
5315,石步村村民委员会,165,36,13,826
3713,海后村委会,166,8,6,211
3660,龙坑村委会,166,16,6,150
3637,骊塘三村委会,166,16,6,151
5421,槎滘村村民委员会,166,17,6,489
2773,锡中村委会,167,16,9,181
5277,新南村村民委员会,167,25,15,794
3602,潘厝村委会,168,12,4,175
3926,石壁一村民委员会,168,16,25,327
3640,诗阳村委会,168,17,2,214
4232,堤田村民委员会,168,19,30,307
5411,南洲村村民委员会,168,31,28,328
2015,新寨村委会,169,16,9,174
2767,新寨村委会,169,16,9,180
3949,西山村民委员会,169,18,27,298
3561,泗和村委会,170,7,2,207
3687,市上村委会,170,10,9,261
5086,麦朗村委会,170,22,37,319
3612,仙都三村委会,171,13,4,198
3638,庄西陇村委会,171,15,2,194
4358,益群村委会,171,21,10,873
3578,凤岗村委会,172,12,4,186
3990,和龙村委会,172,14,11,613
3997,谢家庄村委会,172,14,11,616
1011,李屋村民委员会,172,15,5,421
3551,洋新村委会,173,6,7,200
3589,乌洋村委会,173,11,4,229
4362,新庄村委会,173,18,18,286
3603,龙下村委会,174,12,4,185
4361,新民村委会,174,15,6,125
5229,凤美村委会,174,15,9,197
4356,联合村委会,174,21,9,897
5363,竹塘村村民委员会,174,23,11,763
932,新田村委会,174,24,17,245
3967,金山村民委员会,174,24,38,406
518,新明村委会,175,15,6,130
3621,新联村委会,176,16,4,188
2503,光明村民委员会,176,16,6,381
3689,凤壶村委会,177,6,8,237
3549,港后村委会,178,7,8,196
1752,洪湖村民委员会,178,16,6,405
3062,青洋山村委会,178,19,8,200
5072,大罗村委会,178,25,40,414
3719,南徽村委会,180,10,8,225
1754,太阳村民委员会,180,11,3,230
1835,维布村民委员会,180,13,5,318
2310,青洋山村委会,180,19,8,202
4357,合成村委会,180,25,12,916
3579,南陇村委会,181,10,7,243
5228,龙头村委会,181,16,5,243
3553,崎沟村委会,183,13,9,194
5286,张坑村村民委员会,183,37,33,830
2505,万松村民委员会,184,11,3,242
5274,企石村村民委员会,184,30,12,768
2586,土湖村民委员会,185,13,5,325
5053,马龙村委会,185,16,36,285
3641,下张村委会,185,17,5,259
5279,隔坑村村民委员会,185,41,30,796
3544,三合村委会,186,12,6,242
5081,仙塘村委会,186,14,17,386
2313,占苏村委会,186,17,5,195
88,新胜村民委员会,187,12,7,575
927,南金村委会,188,14,17,369
3065,占苏村委会,188,17,5,195
5054,上僚村委会,188,18,36,269
3528,上西沟村委会,189,11,8,221
3648,亭厦村委会,189,13,10,214
3609,黄厝巷村委会,189,15,4,239
5375,太公岭村村民委员会,189,22,29,545
5345,浮岗村村民委员会,189,23,13,560
3954,福涌村民委员会,190,9,9,222
3580,泮洋村委会,190,12,5,264
2316,练江村委会,190,17,6,220
3968,桥山村民委员会,190,22,41,490
5254,茶山村村民委员会,190,37,42,789
5255,横江村村民委员会,190,37,42,796
1125,岗丰村委会,191,5,15,227
2532,罗村村民委员会,191,12,2,234
114,横东村民委员会,191,16,12,544
3693,前埔村委会,192,10,11,278
3675,仙马村委会,192,10,11,280
3542,美西村委会,192,10,11,285
3581,吉林村委会,192,14,6,273
3605,田头村委会,192,15,4,230
86,益隆村民委员会,192,20,8,752
5052,水口村委会,192,20,33,312
3588,福洞村委会,193,14,5,264
3604,下陇村委会,193,15,4,227
4003,夏良村委会,193,16,29,801
3068,练江村委会,193,17,6,215
3952,赤岗村民委员会,193,18,87,269
3925,沙溪村民委员会,193,22,29,487
5374,梅林村村民委员会,194,22,29,551
5372,大沙村村民委员会,194,23,22,491
5246,梁家村村民委员会,194,33,17,707
120,三沙村民委员会,195,14,6,904
3624,和平村委会,196,17,2,272
5377,矮岭冚村村民委员会,196,23,8,511
5283,六甲村村民委员会,196,28,22,737
1781,新乐村村民委员会,197,12,2,234
1764,冷水坑村民委员会,197,14,7,276
3625,红旗村委会,197,17,2,279
5362,黄洞村村民委员会,197,24,11,794
2515,马庄村民委员会,198,14,7,277
2770,潭蔡村委会,198,15,7,206
5060,新隆村委会,198,23,37,407
5364,三联村村民委员会,198,26,17,812
5310,沙湖口村村民委员会,198,29,22,727
5417,吴家涌村村民委员会,198,31,9,744
3550,内新村委会,199,8,7,222
5231,上头合村委会,199,13,17,280
3608,陈厝巷村委会,199,15,4,239
3622,仙安村委会,199,18,4,228
4234,吉利村民委员会,199,20,21,357
5351,三星村村民委员会,200,35,13,725
3532,陈禾陂村委会,201,14,7,244
2018,潭蔡村委会,201,15,7,203
3659,刘陇村委会,202,9,8,233
3646,砚前村委会,202,14,10,240
3620,水美村委会,202,17,4,266
125,西山社区居民委员会,202,20,11,294
5087,西庆村委会,202,23,36,376
5058,西海村委会,203,9,27,302
3633,东里村委会,203,13,10,247
3682,湄洲村委会,203,14,7,244
3647,大干村委会,203,14,10,245
4005,园夏村委会,203,21,39,948
5245,沙腰村村民委员会,203,31,13,817
5416,袁家涌村村民委员会,203,32,9,727
3607,辜厝村委会,204,16,4,237
3545,福潭村委会,204,19,10,262
5088,万安村委会,204,20,30,366
5367,马蹄岗村村民委员会,204,30,23,667
3537,溪美朱村委会,205,12,7,279
5068,岳步村委会,205,20,30,334
5376,百花洞村村民委员会,205,24,42,534
3617,贾里村委会,206,18,2,286
5256,卢边村村民委员会,206,32,26,889
3548,范溪村委会,207,12,7,257
3631,金三村委会,207,16,3,294
3606,厂头村委会,207,18,4,243
3623,龙吉美村委会,208,17,4,259
3966,凌边村民委员会,209,18,28,347
3618,院前村委会,209,19,2,272
2319,西社新北村委会,209,19,9,247
5080,旺岗村委会,209,21,30,340
3652,乔林村委会,210,18,9,258
5420,蕉利村村民委员会,210,30,13,646
5401,厚德村村民委员会,210,34,31,501
3650,林厝村委会,211,17,9,255
3071,西社新北村委会,211,19,9,246
3574,东门村委会,212,15,9,303
3642,沟边村委会,212,20,5,309
