,Unnamed: 0,Unnamed: 0.1,coordinate,address,county,village_name,province,product,year,Checked,village_type,e_name,latitude,longitude,bbox,x1,y1,x2,y2
22,22,22,"34.857322,115.031051",河南省开封市兰考县考城镇南孙庄村委会,兰考县,南孙庄村,河南,,,0,3,Nansunzhuang Village,34.857322,115.031051,"[[34.88123024, 114.97454496], [34.83341376, 115.08755704]]",34.88123024,114.97454496,34.83341376,115.08755704
23,23,23,"34.882811,115.175490",河南省开封市兰考县许河乡杨桥村委会,兰考县,杨桥村,河南,,,0,3,Yangqiao Village,34.882811,115.17549,"[[34.90684823, 115.11898396], [34.85877377, 115.23199604]]",34.90684823,115.11898396,34.85877377,115.23199604
24,24,24,"30.736681,115.687790",湖北省黄冈市英山县温泉镇莲花村民委员会,英山县,莲花村,湖北,,,0,3,Lianhua Village,30.736681,115.68779,"[[30.76117451, 115.63128396], [30.71218749, 115.74429604]]",30.76117451,115.63128396,30.71218749,115.74429604
25,25,25,"31.441382,115.124671",湖北省黄冈市麻城市铁门岗乡玉皇阁村委会,麻城市,玉皇阁村,湖北,,,0,3,Yuhuangge Village,31.441382,115.124671,"[[31.46537386, 115.06816496], [31.41739014, 115.18117704]]",31.46537386,115.06816496,31.41739014,115.18117704
26,26,26,"28.688932,113.583321",湖南省岳阳市平江县汉昌镇天岳村民委员会,平江县,天岳村,湖北,,,0,3,Tianyue Village,28.688932,113.583321,"[[28.71153907, 113.52681496], [28.66632493, 113.63982704]]",28.71153907,113.52681496,28.66632493,113.63982704
27,27,27,"36.817181,104.367660",甘肃省白银市景泰县中泉镇尾泉村委会,景泰县,尾泉村,甘肃,,,0,3,Weiquan Village,36.817181,104.36766,"[[36.83120259, 104.31115396], [36.80315941, 104.42416604]]",36.83120259,104.31115396,36.80315941,104.42416604
28,28,28,"26.615451,100.179080",云南省大理白族自治州鹤庆县新华村,鹤庆县,新华村,云南,银器,,1,1,Xinhua Village,26.615451,100.17908,"[[26.62543705, 100.12257396], [26.60546495, 100.23558604]]",26.62543705,100.12257396,26.60546495,100.23558604
29,29,29,"32.481272,113.416361",南阳市镇平县石佛寺镇石佛寺村,镇平县,石佛寺村,河南,玉石,,1,3,Shifosi Village,32.481272,113.416361,"[[32.50372806, 113.35985496], [32.45881594, 113.47286704]]",32.50372806,113.35985496,32.45881594,113.47286704
30,30,30,"37.104573,118.135691",山东省滨州市博兴县锦秋街道湾头村,博兴县,湾头村,山东,,,1,2,Wantou Village,37.104573,118.135691,"[[37.13121906, 118.07918496], [37.07792694, 118.19219704]]",37.13121906,118.07918496,37.07792694,118.19219704
31,31,31,"34.693871,115.626291",山东省菏泽市曹县大集镇丁楼村,曹县,丁楼村,山东,,,1,2,Dinglou Village,34.693871,115.626291,"[[34.71830984, 115.56978496], [34.66943216, 115.68279704]]",34.71830984,115.56978496,34.66943216,115.68279704
32,32,32,"23.605914,116.302666",广东省揭阳市揭东区锡场镇军埔村,揭阳市,军埔村,广东,,,1,2,Junpu Village,23.605914,116.302666,"[[23.63095256, 116.24615996], [23.58087544, 116.35917204]]",23.63095256,116.24615996,23.58087544,116.35917204
33,33,33,"34.164251,118.663850",江苏省宿迁市沭阳县新河镇周圈村,沭阳县,周圈村,江苏,,,1,2,Zhouquan Village,34.164251,118.66385,"[[34.19135525, 118.60734396], [34.13714675, 118.72035604]]",34.19135525,118.60734396,34.13714675,118.72035604
34,34,34,"33.887400,118.146704",江苏省徐州市睢宁县沙集镇,睢宁县,沙集镇,江苏,,,1,2,Shaji Village,33.8874,118.146704,"[[33.91405564, 118.09019796], [33.86074436, 118.20321004]]",33.91405564,118.09019796,33.86074436,118.20321004
35,35,35,"38.401771,116.019461",河北省沧州市肃宁县喝杯留善寺西乾泊村,肃宁县,西乾泊村,河北,,,1,2,Xiqianbo Village,38.401771,116.019461,"[[38.42655887, 115.96295496], [38.37698313, 116.07596704]]",38.42655887,115.96295496,38.37698313,116.07596704
36,36,36,"33.042093,112.153691",河南省南阳市镇平县罗营村,南阳市,罗营村,河南,玉石,,1,1,Luoyin Village,33.042093,112.153691,"[[33.063401, 112.09718496], [33.020785, 112.21019704]]",33.063401,112.09718496,33.020785,112.21019704
37,37,37,"33.084681,112.164490",河南省南阳市镇平县老毕庄村,南阳市,老毕庄村,河南,玉石,,1,1,Laobizhuang Village,33.084681,112.16449,"[[33.10599886, 112.10798396], [33.06336314, 112.22099604]]",33.10599886,112.10798396,33.06336314,112.22099604
38,38,38,"34.930281,114.943701",河南省开封市兰考县固阳镇范场村,兰考县,范场村,河南,民族乐器,,1,1,Fanchang Village,34.930281,114.943701,"[[34.95411115, 114.88719496], [34.90645085, 115.00020704]]",34.95411115,114.88719496,34.90645085,115.00020704
39,39,39,"34.613542,112.843571",河南省洛阳市偃师市石佛镇贺庄村,偃师市,贺庄村,河南,玉石,,1,1,Hezhuang Village,34.613541999999995,112.843571,"[[34.63547858, 112.78706496], [34.59160542, 112.90007704]]",34.63547858,112.78706496,34.59160542,112.90007704
40,40,40,"34.613542,112.843571",河南省洛阳市偃师市马屯村 ,偃师市,马屯村 ,河南,大鼓,,1,1,Matun Village,34.613541999999995,112.843571,"[[34.63547858, 112.78706496], [34.59160542, 112.90007704]]",34.63547858,112.78706496,34.59160542,112.90007704
41,41,41,"34.746391,112.589760",河南省洛阳市孟津县平乐镇,孟津县,平乐镇,河南,牡丹画,,1,1,Pingle Village,34.746391,112.58976,"[[34.76809668, 112.53325396], [34.72468532, 112.64626604]]",34.76809668,112.53325396,34.72468532,112.64626604
42,43,43,"34.752141,112.491841",河南省洛阳市孟津县朝阳村南石山村,洛阳市,南石山村,河南,唐三彩,,1,1,Nanshishan Village,34.752140999999995,112.491841,"[[34.77375749, 112.43533496], [34.73052451, 112.54834704]]",34.77375749,112.43533496,34.73052451,112.54834704
43,44,44,"34.097381,113.649320",河南省许昌市建安区灵井镇郭店村,许昌市,郭店村,河南,社火道具,,1,1,Guodian Village,34.097381,113.64932,"[[34.1200477, 113.59281396], [34.0747143, 113.70582604]]",34.1200477,113.59281396,34.0747143,113.70582604
44,45,45,"34.096431,113.637290",河南省许昌市建安区灵井镇霍庄村 ,许昌市,霍庄村 ,河南,社火道具,,1,1,Huozhuang Village,34.096431,113.63729,"[[34.11908684, 113.58078396], [34.07377516, 113.69379604]]",34.11908684,113.58078396,34.07377516,113.69379604
45,46,46,"30.181103,119.170511",浙江省杭州市临安区昌化镇白牛村,杭州市,白牛村,浙江,,,1,2,Baitou Village,30.181103000000004,119.170511,"[[30.20864463, 119.11400496], [30.15356137, 119.22701704]]",30.20864463,119.11400496,30.15356137,119.22701704
46,47,47,"29.436022,119.923301",浙江省金华市浦江县浦南街道石埠头村,浦江县,石埠头村,浙江,,,1,2,Shifutou Village,29.436022,119.923301,"[[29.46420949, 119.86679496], [29.40783451, 119.97980704]]",29.46420949,119.86679496,29.40783451,119.97980704
47,48,48,"32.888143,110.311141",湖北省十堰市郧西县涧池乡下营村,郧西县,下营村,湖北,,,1,3,Xiayin Village,32.888143,110.311141,"[[32.90775727, 110.25463496], [32.86852873, 110.36764704]]",32.90775727,110.25463496,32.86852873,110.36764704
